"Good news for RCB fans, IPL final was fixed ! :p","0","0"
"That's a first. India rooting for a Pakistani's praise for @bhogleharsha. The @hotstartweets panel for IPL was awesome :D","28.6139391","77.2090212"
"Brilliant from @SunRisers and feeling sad for @imVkohli and @ABdeVilliers17. IPL over, #BleedBlue. @SetSetmax back to Suryavansham from tom :P","0","0"
"Good News for Suryavansam Fans... IPL Over :D :P","0","0"
"IPL CHAMPIONS 2016 #SRH :) :D ...Yessssssss. ...!!! Well played RCB. ..better luck next time. — feeling awesome","0","0"
"@ChennaiIPL #CSK daa !! #RCBvSRH @IPL @msdhoni @ImRaina waiting for 2018 :)pic.twitter.com/CXoiUoJlUP","12.9009877","80.22793009999999"
"@IPL @WeAreHyderabad @SunRisers the best team had won. Love sunrisers hyderabad for winning ipl. Warner hearty congrats :)","0","0"
"AND THE CHAMPIONS OF IPL 2016 IS SUNRISERS HYDERABAD. They deserve it congratulations SRH team and specially David Warner :)","0","0"
"+1 I never thought i will Like This Arrogant Aussie but from This IPL started liking him. What a Great person :) https://twitter.com/vvsstaes/status/737000596402802689 …","0","0"
"Good bye IPL i dont like u but i love rcb nd csk :P","0","0"
"Some trophies don't deserve legends! :))" 2003 World Cup - SACHIN 2016 IPL - virat ,ABD #RCBvSRH","0","0"
"IPL final? Who is champion? Who cares :p Not interested in fixed league, we are #Pakistani, we are #PSL","0","0"
"mean while in Pakistan.. IPL is PSL :D https://twitter.com/Umar96Akmal/status/736983496804163584 …","0","0"
"@ipl !! Best Moments !! :-)","0","0"
"@Raj_4Prince another successful ipl captain 4 seasons 3 playoffs 2 finals 2 trophies 1 man :) @ImRo45","0","0"
"@YUVSTRONG12 Wat a man u r.All the Major titles of Cricket History under your belt. Now time to look for other sport :P Congrtz for IPL Win.","0","0"
"@mana_apple @Hakeematun @Jaqtard thank a lot!! :-) An Australian lifted the IPL trophy again :-)","0","0"
"Bengaluru pipped to the finish line by Hyderabad again Knocked RCB out of IPL,My 2Cents to Kohli for his attitude ,though love his game :-)","0","0"
"Missed almost 60% of IPL this time due to my CA exams. I hope I'll clear them this time else i will feel very bad for missing the IPL. :p","0","0"
"Keep rocking Fizz :) :) Most emerging player of IPL 2016 Best wishes from Voice of Paikgacha :) :) http://fb.me/1hoTZJFVG ","0","0"
"Hyderabad wins the IPL :-) But Bangalore Win the Hearts :-*","0","0"
"#SRH wins the @IPL, @RCBTweets won hearts. Extraordinary IPL for @imVkohli. Happy for @YUVSTRONG12 :) Ab kal se TV pe kya dekhe?","0","0"
"Starc wasnt fit for IPL but is totally fit for ODI match against West Indies on 5th June :P RCB ko choona lagaya usne bhi :P","0","0"
"To celebrate the End Of IPL, Set Max Will Telecast Suryavansham Whole Day Tomorrow :D","0","0"
"17 wkts in the 1st #IPL session... #Mustafiz is da #Champion.... Only "FIZZ" is da real....... :) http://fb.me/F1XMCd4V ","0","0"
"Its always treat to watch @henrygayle Strom on #IPL !! :) Well played as always !!! #RCBvSRH","0","0"
"Again the IPL trophy comes to the hands of 'Chennai' owner... :) #IPL2016","0","0"
"Emerging Player of @IPL is @Mustafiz90 :D Proud of u TIGER! Congratulations on the achievement.","0","0"
"When #ipl started #breakup virat broke all records, when he pathed up, he lost...! #curious #JustSaying...:-)!","0","0"
"@ArmyMomXVI Oh yes I agree! The IPL is very exciting to watch! :-))","0","0"
"Brace ur self frm tomorrow #Sooryavansham :P hehe #RCBvSRH Miss u IPL @mipaltan :(","0","0"
"Being a @iamsrk fan, KKR win over CSK in 2012 IPL final still remains as my favorite. :)","0","0"
"Some trophies don't deserve legends! :))" 2003 World Cup - @sachin_rt 2016 IPL - @imVkohli #RCBvSRH @IPL pic.twitter.com/HRAuV93gEA","0","0"
"@realpreityzinta Hope next year we lift that @IPL Trophy @lionsdenkxip :)","0","0"
"Yesterday #RM win the title of #UEFA CL and today #SRH Wins the #IPL title great to be watch these matches as a supporter :-)","0","0"
"No matter hw much beer u hv but u always end wit a spicy biryani :) #eit20 #IPLfinal #IPL2016 @SonySIX @IPL @IPL_Sports @VivoIPL_India","0","0"
"IPL has been Warnered. SRH are the Champions. :D #HailHydera","0","0"
"Sridevi - Mere Haathon mein nau nau Chudiya hai. Virat Kohli - Meri team mein nau nau chutiya hai. :P. Congrats SRH for IPL win !","0","0"
"মুস্তাফিজের দল জিতলে, জিতে যায় বাংলাদেশ! কংরাচুলেশন কাটার মাস্টার! (y) :) #Fizzz 8-| <3 #IPL #RCBvSRH","0","0"
"now, there will b no ipl tweets :D wooooooow","0","0"
"Another IPL is on its way this September! :D SEE HERE - http://bit.ly/1VoAoee http://fb.me/4AeMxdlTk ","0","0"
"Well led David warner & deserving champs on d big night Sunrisers new champs of @ipl @yuvstrong12 atlst part of ipl winning team too :)","0","0"
"To all the #IPL followers, You bet on the wrong team today...!! Someone made a lot of money thanks to your hopes and he is in UK. :)","0","0"
"Sunrisers Hyd won IPL trophy 2016 congrats to the whole team :) http://fb.me/5sq3ytzJQ ","0","0"
"David Miller .... :) WAT a captain :D MSD' s Apprentice... ;) #Kidu_Captaincy #SRH #YUVI #IPL #Champions_2k16 — feeling awesome","0","0"
"Mustafizur Rahman is the Emerging player of IPL - Indian Premier League 2016 :D :D :D :D :D #TheMagician #OurTiger #হালুম","0","0"
"#RCBvSRH SunRisers Hyderabad are the new IPL - Indian Premier League champions. Well done. well played RCB... :) pic.twitter.com/ldc0YooEIy","0","0"
"Many a times we see #IPL ruin bowlers careers!, for once it #Changed :) #IPLfinal #SRHvsRCB","0","0"
"Sunrisers chamption of IPL 2016 :) Frst IPL trophy fot #Yuvi: Sunrisers chamption of IPL… http://lollutamil.com/lollu/photo/9354/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/r1GTFPY8GG","0","0"
"And thus ends the most amazing IPL ever #IPL2016 Watched almost all matches after such a long time Thanks for wonderful moments God bless :)","0","0"
"#RCBvSRH #Congo for the SRH Orange Army #For winning 2016 vivo IPL trophy #WellDone Captain David Warner (y) #RCB WellPlayed :)","0","0"
"Congratulations To The Sunrisers Hyderabad :) I'm so happy that they won the IPL this season They played very well together.","0","0"
"@samiprajguru @sucheritak @BHARDWAZNITIN 3 Aussie Factors - Warner, Cutting won it 4 SRH & Watson lost it 4 RCB. Great IPL Final anyway :)","0","0"
"IPL में भी भगवा (SRH) छा गया है ;) .. इसमें ज़रूर संघ और मोदी का हाथ है :p #RCBvSRH","0","0"
"See you next year GG, as you can only play in IPL. :) Keep taking digs. Won't matter. https://twitter.com/GautamGambhir/status/736987940035956736 …","0","0"
"The best bowling team out does the best batting team.. N they said it was batsmen game :P #rcbvsrh #ipl finale #srh #rcb","0","0"
"अरुबेला धोतिधोती भनेर गाली गर्ने हामी आज ipl को बहानामा आफैआफै झगडा गर्दैछौ,हाम्रो रास्ट्रभक्ती:D","0","0"
"Congratulations SRH. Well played. RCB you were deserving runners up. Hard luck. Great tournament Vivo IPL Totally Kohlified :)","0","0"
"Class #IPL final, right down to the final few balls, well done #SRH nice one guys :) :)","0","0"
"It's gone, we lost. There is always a next time, this wasn't the last IPL. Trophys SOOOO ours next time, so smile :) #RCB","0","0"
"RCB pulled a South Africa Today :D #IPLfinal #IPL2016 #IPL #SRHvsRCB #OrangeArmy #SRH #RCB","0","0"
"SunrisersHyderabad-new #ipl champions :-) <3 cup madey babai <3 #incrediblewarner #pocketdynamite... http://fb.me/2dFylnawJ ","0","0"
"Two best captains, leading from the front. @imVkohli @davidwarner31 Well done, Sirs :) Great IPL season! #RCBvSRH","0","0"
"For once, ~ seems, majority IPL bookies have lost huge sum :) ~ IPL is conducted with some fairness","0","0"
"Hmm. So unfair. A team without IPL trophy should troll another team with 2 IPL & 2 Champions trophy! :) https://twitter.com/imvnaj/status/735352195080683520?p=v …","0","0"
"@GautamGambhir @SunRisers @IPL @BCCI chair me laat Marne wale Bhi koi nice guy NHI hote :)","0","0"
"T20 HOGAYAAAAA :( IPL HOGAYAAAAA :( . . . . Ab kal se .. kya? WHAT'S NEXT TWITTER WALOOOOOOOO ? :D https://twitter.com/BeInG_lukku/status/736988633543020544 …","0","0"
"@MarihaJabin haha you have millions of reasons to follow @IPL now. Shakib played well as well :) sadly only one Sri Lankan though :(","0","0"
"Saffron rules be it India or @IPL :) #RCBvSRH #SRHvsRCB #eit20 @ndtv @jhunjhunwala @chetan_bhagat","0","0"
"@RaeesUlHaq I don't follow ipl actually. this season was my first time, that too i wtched just a couple of matches. :)","0","0"
"Yayyyyyy Sunrisers won VIVO IPL 2016 .. All bcoz of Sun @davidwarner31 , and Two risers bhuvaneswar an mustafizur :D #RCBvSRH","0","0"
"7 players from IPL finals make it into team of the tournament! :) SEE HERE - http://bit.ly/1TGQX08 http://fb.me/73Wv41bnr ","0","0"
"#ipl2016final #IPL Welldone #SRH ...well played #RCBvSRH Champions... They are the #LeicesterCity of IPL 2016 ..:-)","0","0"
"#D20PremierLeague First IPL for warner.what a player!!!Hats off to him!! :-) #RCBvSRH #D20PremierLeague","0","0"
"Reyy "nice guys" ata :D @gautamgambhir @bcci @ipl @sunrisers","0","0"
"Finally, Biryani (Hyderabadi) beats Beer (Royal Challengers) :D #IPL #RCB #SRH","0","0"
"2 world cup. And now IPL. Only @YUVSTRONG12 can do this. Congrats. My team wins. :) :) :) :D","0","0"
"So now you know what language this song is in :P #IPL https://youtu.be/1aDTGQjEBAw ","0","0"
"well played @davidwarner31 need improvement team SRH congrts ipl over now waiting for big-boss :P #RCBvSRH #IPLfinal #SRHvsRCB","0","0"
"ह्वा IPL मा ब्याट्सम्यानले ४० बलमा १०० रन हान्छन् ह्या आफुलाई १०० मार्क्समा ४० ल्याउन धौ धौ छ ।खै यस्तो तालले के उभि लाग्नु ।:))","0","0"
"& Those RCB fans who were talking about CSK that day. First let your team win a single IPL trophy then talk about CSK :)","0","0"
"#SRHRCB...Big Game, Big Victory! Kudos to the team on winning the title :) #OrangeArmy #SRHvsRCB IPL - Indian Premier League","0","0"
"Kohli, U Missed 3rd IPL FINAL No need to regret Bcoz U r like Fighter and Fighter never Regret :) Next IPl... http://fb.me/77BUuxABo ","0","0"
"Appada Ipl mudinjiduchu... I'm very happy :D :D","0","0"
"@alaindebotton @princessgawry :P every one here fight out for ipl. Ur silently RTing post abt marriage.. hmm hmm","0","0"
"Biryani Debba!! Kingfishers Abba.. SRH Champions IPL 2016 My Home Team <3 Made it! :* :) #FhaattakhePhodo re :'D","0","0"
"So we got a new winner this year! Not quite. Remember Adam Gilchrist's #Deccan_Chargers in #IPL-2? :P The... http://fb.me/7ZTazvgVY ","0","0"
"In 9 Seasons of IPL, Australian captains have lifted trophy 3 times. While India captains have lifted it 6 Times :) #RCBvSRH","0","0"
"Delhi Daredevils supporters like me can proudly boast that our team beat the IPL Champions twice in the league stage. :P #IPL9","0","0"
"Hard luck #RCB Congrats #SRH It was hard to decide which team 2 support..:) Paisa vasool final.. Will miss #IPL #RCBvSRH","0","0"
"Cricketing marvels aside, this IPL will be remembered for most passionate & animated cheergirls :p","0","0"
"Any way... Congrats #OrangeArmy; the IPL version of #1 PerthScorchers #2 Netherlands Yeah, all above are/were Orange Army :D #PlayBold #IPL9","0","0"
"RCB : This time we will be winners of IPL . Me : Indha vaati Kandipa 'A' grade vaangiruven ma . # So close :)","0","0"
"The most loveing cricket team in the world never won titles. Its SouthAfrica in International & #RCB in IPL :p... http://fb.me/2KeCTM0eN ","0","0"
"Cricket Win In This Season Of #IPL :D No Big Names, No Home Crowd Support Only Good Game Of Cricket ^_^ True #Champion Deserved #Winner","0","0"
"Dear RCB fans this match was indeed fixed , Every IPL was fixed except 2012 & 2014 . sach mein :P","0","0"
"Seeing orange color around the screen; gives me feel of the battery saver mode. #Srh #Ipl Well deserved victory! :D","0","0"
